Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
09:28:47,2022-12-13,3919593175,194129147,4599.56,UK pounds,UK pounds,UK,Morocco,Cross-border,1,Structuring
08:53:44,2023-04-20,7537292128,6942141879,6217.17,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
15:58:32,2023-01-27,1526266472,5794490419,1449.63,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
12:06:54,2022-12-11,6228278108,1124579087,446.83,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:12:04,2022-10-15,6767692560,188929394,9578.04,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Deposit-Send
16:01:50,2023-05-18,8039556217,6237866068,371.86,UK pounds,Dirham,UK,UAE,Cross-border,1,Behavioural_Change_2
11:10:28,2023-07-30,894851515,4942720815,13771.36,Swiss franc,UK pounds,Switzerland,UK,Cross-border,0,Normal_Plus_Mutual
22:51:56,2022-12-14,8289139941,7436550444,253.9,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
09:51:11,2023-02-08,1102397202,8678824794,7032.64,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_In
11:08:44,2022-12-24,4803642115,7106200562,2907.02,UK pounds,Pakistani rupee,UK,Pakistan,Cross-border,1,Behavioural_Change_1
19:56:13,2023-06-23,7988937022,8900729702,7672.17,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
17:40:59,2023-01-10,9056059200,1820923976,36828.85,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:48:53,2022-10-10,8868041379,7573341850,10985.43,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
08:30:22,2023-03-17,1503500920,2225320089,11246.17,UK pounds,UK pounds,UK,UK,Debit card,1,Bipartite
08:40:22,2023-07-20,4165469029,812023082,2844.41,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
12:13:16,2022-12-11,7263384547,5794331781,4486.16,UK pounds,Pakistani rupee,UK,Pakistan,Cross-border,1,Deposit-Send
20:35:50,2022-10-14,403526894,1181210781,2254.57,UK pounds,Euro,UK,Netherlands,Cross-border,1,Behavioural_Change_1
20:40:34,2022-12-21,4255258951,35328673,8380.38,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:15:24,2023-07-14,1483698958,2487415444,5243.21,US dollar,UK pounds,UK,UK,Debit card,1,Structuring
00:23:10,2022-11-23,3764972093,7129026374,158760.33,UK pounds,UK pounds,UK,UK,Credit card,1,Single_large
19:07:02,2023-05-20,7042623316,6593009095,6981.8,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:29:03,2022-12-08,7145261850,655860669,4899.17,Euro,Turkish lira,Germany,Turkey,Cross-border,0,Normal_Fan_Out
15:39:10,2022-10-16,6981910149,434351836,7657.65,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
23:59:45,2022-11-04,7691454895,2363419650,6565.73,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
16:57:32,2022-10-19,8768279763,5093242276,551.96,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
04:45:01,2023-01-03,7516627308,7814679082,19415.98,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
15:06:56,2023-06-13,7754711202,4345836865,1967.44,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
16:15:01,2022-11-07,3559909418,1618355296,14063.61,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:03:48,2022-10-19,3895306575,4810948357,1366.43,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
14:34:57,2022-11-15,7785732621,3790148325,4027.02,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring
09:16:54,2023-02-19,4236621242,8975872723,99.7,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
23:33:03,2023-04-20,3001111475,1493546122,23811.36,UK pounds,UK pounds,UK,UK,Cheque,1,Stacked Bipartite
08:56:21,2023-08-12,520319977,4950186019,4311.73,UK pounds,UK pounds,UK,UK,Cheque,1,Stacked Bipartite
22:09:12,2023-03-06,2322675031,5615316779,334.24,Albanian lek,UK pounds,Albania,UK,Cross-border,0,Normal_Small_Fan_Out
21:33:54,2023-07-03,9884576586,5311881377,7027.85,UK pounds,UK pounds,UK,UK,Cheque,1,Layered_Fan_In
13:42:28,2022-12-19,7754711202,4345836865,1219.86,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
03:04:00,2022-10-20,9397805995,8744741584,2711.77,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
06:23:21,2023-04-14,3207479262,9517922369,3410.01,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
18:05:33,2022-12-06,8307902133,5942373219,2717.35,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:03:55,2023-03-08,3417744518,5522779820,1960.92,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
01:32:51,2023-07-14,279188028,5076652791,6585.5,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
21:04:52,2023-04-08,4574851353,8269030164,5996.38,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
16:04:12,2023-08-15,3215318479,6855482173,3132.04,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
13:09:05,2023-02-28,4293938800,1188070210,15833.97,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
13:23:05,2022-11-22,9501681099,330310031,100.81,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
13:50:37,2023-06-13,9772022469,4783094991,2568.77,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
10:49:49,2022-10-20,8316648936,157352479,4523.03,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
15:31:30,2022-10-16,6190133344,5005494886,10357.13,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
08:38:27,2022-10-28,7608868553,9958407914,6858.88,UK pounds,UK pounds,UK,UK,ACH,1,Fan_In
11:40:39,2023-02-06,4804547771,6633012892,2603.85,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Deposit-Send
08:25:24,2023-02-23,1977122470,6152201897,10085.19,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
14:56:07,2023-01-17,9910313856,6123421761,6064.6,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
04:55:42,2023-03-15,7195246201,9254988734,66.21,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
20:50:52,2023-08-17,838065818,1797837579,28933.63391114532,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_Out
06:20:17,2023-08-18,8480398203,1535564799,4728.35,UK pounds,Yen,UK,Japan,Cross-border,0,Normal_Fan_Out
10:34:53,2022-12-10,5102301300,1909875660,105.18,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
10:36:45,2023-05-17,9563713061,8227366880,4688.17,UK pounds,UK pounds,UK,UK,Credit card,1,Stacked Bipartite
16:40:43,2023-04-20,8185097615,4306436131,1140.23,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
11:58:34,2023-08-22,3994438152,7840328636,96.1,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
18:01:06,2023-04-05,9815457790,624708438,10694.44,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
05:53:50,2022-11-27,1243655595,6352833292,11471.04,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
21:15:13,2022-11-22,2255212579,6002669342,12073.69,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
19:42:47,2023-06-23,4214635023,6594737784,592.77,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
19:53:54,2023-07-07,177691093,1594196487,340.39,UK pounds,Naira,UK,Nigeria,Cash Withdrawal,1,Cash_Withdrawal
13:27:53,2023-04-03,732129762,7166009903,3885.75,UK pounds,UK pounds,UK,UK,ACH,1,Layered_Fan_Out
13:48:46,2023-07-21,1307572448,413046602,7439.842456272796,UK pounds,UK pounds,UK,UK,Debit card,1,Stacked Bipartite
21:35:01,2023-05-03,8320925356,276216032,13470.33,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
14:01:38,2023-01-15,5676748007,2191026741,8942.08,UK pounds,UK pounds,UK,UK,ACH,1,Layered_Fan_In
11:28:26,2022-11-09,5102951963,7447346855,21164.14,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
09:47:56,2023-05-22,5733991821,2846020437,1486.65,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
09:58:53,2022-12-20,7873285751,4882017214,7858.31,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:49:09,2023-04-04,2014993158,5049305340,5148.665922682328,UK pounds,Naira,UK,Nigeria,Cross-border,1,Scatter-Gather
04:55:04,2023-06-25,2127789419,3677158722,7958.177102605872,Swiss franc,Euro,UK,Austria,Cross-border,1,Layered_Fan_Out
13:03:45,2023-01-02,8149907616,8680189296,4948.69,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
11:47:15,2023-06-08,4152049098,5946170167,9405.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
12:05:34,2023-01-11,1650284708,7859972869,8417.34,Euro,Euro,Netherlands,UK,Cross-border,1,Structuring
15:31:59,2023-02-19,4337913115,2347880509,862.85,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:57:37,2023-03-25,1996960544,5378837878,6484.57,UK pounds,Naira,UK,Nigeria,Cross-border,1,Stacked Bipartite
07:36:53,2023-08-14,7618451052,7037744518,7209.25,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
20:29:49,2023-04-25,2480585974,3487220354,7564.15,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Fan_In
20:49:32,2023-06-21,9142652594,9621040927,2551.91,UK pounds,Yen,UK,UK,Debit card,0,Normal_Periodical
15:26:59,2023-06-28,8784566676,3070210668,8890.33,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Fan_In
11:01:32,2023-02-20,7535537199,4701344767,43933.71528172186,UK pounds,UK pounds,UK,UK,ACH,1,Layered_Fan_In
11:47:35,2022-12-27,2289004902,9326117807,20610.78,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
02:29:39,2023-06-20,91694185,6486011774,4725.66,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:16:44,2023-05-29,2428154426,7170571141,12089.93,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
22:53:58,2023-04-13,5925426236,3395460319,13834.01,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
18:06:10,2023-02-09,7221450424,9060422561,6191.07,Naira,UK pounds,Nigeria,UK,Cross-border,0,Normal_Fan_In
21:05:50,2023-06-12,7561166790,297508985,7886.68,Mexican Peso,UK pounds,Mexico,UK,Cross-border,1,Structuring
20:23:41,2023-04-06,340587706,6872985063,3667.95,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Deposit-Send
19:50:39,2023-02-15,391920879,5709569908,4702.36,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
08:39:33,2023-05-20,2235590128,3961702877,6742.42,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:08:39,2023-07-17,1331008057,4238816093,5445.59,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
12:48:04,2023-04-03,9199140967,4369175604,9366.32,UK pounds,Indian rupee,UK,UK,ACH,1,Fan_In
21:32:07,2023-06-14,5346292707,1042334390,8475.34,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
00:05:43,2023-06-20,5607311289,1521758896,1995.29,UK pounds,Euro,UK,Austria,Cross-border,1,Behavioural_Change_2
23:40:49,2022-11-13,4812086893,6216210380,4467.14,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
18:37:48,2023-03-01,1275365067,9106078153,8926.75,UK pounds,UK pounds,UK,UK,Debit card,1,Gather-Scatter
00:03:20,2022-10-20,6770601554,6128626942,208.67,UK pounds,Naira,UK,Nigeria,Cash Withdrawal,1,Cash_Withdrawal
16:43:36,2022-12-14,2013350717,4971356442,8444.67,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
17:42:30,2023-06-29,254333209,7761687193,7759.05,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
23:31:56,2023-06-21,2790497279,5233495288,22560.49426758429,Euro,UK pounds,Netherlands,UK,Cross-border,1,Cycle
19:48:22,2022-10-07,9216862356,4627710320,13550.78,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
04:17:42,2022-11-13,5464377535,3899415481,9626.74,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
07:51:05,2023-07-20,9465557041,2082067796,23124.23,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
09:28:29,2023-06-01,2746102210,1594635990,9678.79,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
15:53:22,2023-03-26,8710352973,9890214856,5843.07621758868,Turkish lira,UK pounds,Turkey,UK,Cross-border,1,Scatter-Gather
21:58:45,2023-02-09,4068676012,9865162400,2113.37,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
22:52:35,2022-12-29,7898367231,1090378407,8879.68,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
15:52:31,2023-08-10,7350260408,4095917483,145.72,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
09:37:25,2022-10-28,1067704948,2058371508,11258.94,Mexican Peso,UK pounds,UK,UK,ACH,1,Fan_In
19:40:02,2022-12-04,2470596478,232488452,8012.833826920784,UK pounds,UK pounds,UK,UK,ACH,1,Layered_Fan_Out
09:42:07,2023-07-29,7754688015,6508082375,18921.48936985754,Moroccan dirham,UK pounds,Morocco,UK,Cross-border,1,Cycle
08:17:56,2023-05-07,8665243891,3140946181,2758.26,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
09:28:05,2023-05-06,9266814294,9926135884,73.17,UK pounds,Dirham,UK,UAE,Cash Withdrawal,1,Cash_Withdrawal
17:43:46,2023-03-26,7649191174,73173280,15687.76,UK pounds,Dirham,UK,UAE,Cross-border,1,Behavioural_Change_1
16:12:35,2023-08-16,4929940343,1571242057,67.23,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
09:35:22,2022-11-30,9416949366,1040594777,7282.39,UK pounds,Albanian lek,UK,Albania,Cross-border,1,Behavioural_Change_2
03:40:04,2023-02-27,6452802977,9071278461,7989.09,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
23:04:18,2023-04-02,8764936238,1605606632,8024.49,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
17:26:57,2023-05-19,7907344791,3393659165,6738.07,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
09:20:35,2022-10-10,3979625953,3623327233,5341.83,UK pounds,Euro,UK,Spain,Cross-border,1,Stacked Bipartite
11:20:34,2022-12-22,1970818557,2752081759,6082.73,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
14:44:51,2023-07-20,8394329540,5334788886,3995.52,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
08:51:54,2023-08-01,2146196860,3671883111,125.39,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
06:20:16,2023-06-07,1278425401,4884203204,4683.21,UK pounds,Naira,UK,Nigeria,Cross-border,1,Deposit-Send
13:04:44,2022-11-15,1393796979,6096368517,3082.82,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
12:55:15,2023-02-17,3338185511,4523354520,9048.72,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
16:33:59,2023-03-26,6068321385,51082711,81.27,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
07:43:39,2023-06-18,1283744664,8826739589,3068.12,UK pounds,UK pounds,UK,UK,Debit card,1,Scatter-Gather
09:47:32,2022-11-21,2154311031,4536103931,8266.82,UK pounds,UK pounds,UK,UK,Credit card,1,Gather-Scatter
17:32:45,2023-01-09,8621886505,8015212920,6712.37,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
15:40:57,2022-11-06,2820805407,1873312167,146.7,UK pounds,Dirham,UK,UAE,Cash Withdrawal,1,Cash_Withdrawal
05:00:52,2023-05-11,1584692715,1919803564,8966.53,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
09:35:21,2023-05-30,2149790272,545297771,5948.94,UK pounds,Moroccan dirham,UK,Morocco,Cross-border,0,Normal_Fan_Out
13:34:17,2023-07-16,2102750507,5997230390,7193.65,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
18:31:48,2023-02-13,6352169675,4689750092,18836.51,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
16:37:10,2023-01-01,2844557963,7968448106,93.12,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
12:14:14,2023-06-20,1216648533,512443344,4660.66,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
05:32:58,2023-02-11,8290285433,4307603555,1109.05,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
08:02:01,2023-04-15,5817384757,5201185567,5590.48,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring
04:14:58,2023-06-21,12735890,5229558527,23027.95,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Mutual
23:59:30,2023-02-17,3758384358,6535573996,509.88,UK pounds,Naira,UK,Nigeria,Cross-border,1,Behavioural_Change_2
21:03:12,2023-02-16,2728271379,9743283090,7451.78,UK pounds,Turkish lira,UK,Turkey,Cross-border,1,Layered_Fan_In
15:13:39,2023-01-09,8214292398,9101431692,3031.95,UK pounds,Pakistani rupee,UK,Pakistan,Cross-border,1,Structuring
08:11:55,2023-06-30,690082367,9849218542,13950.21,Euro,Mexican Peso,UK,Mexico,Cross-border,1,Fan_In
18:49:57,2023-03-13,8254182561,5108529656,2198.16,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Deposit-Send
18:21:49,2023-07-04,1035732299,8505621917,375.64,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
13:04:20,2023-01-02,3933129163,8310992698,11138.28,UK pounds,Euro,UK,Austria,Cross-border,1,Behavioural_Change_2
22:10:02,2023-07-01,1764716247,2531548770,4157.91,UK pounds,Albanian lek,UK,Albania,Cross-border,1,Structuring
23:11:36,2022-12-12,5803562064,3018072157,10307.48,Indian rupee,Indian rupee,India,India,ACH,1,Bipartite
23:36:01,2023-04-16,7771454558,8143659093,11345.821257598402,UK pounds,UK pounds,UK,UK,Debit card,1,Cycle
08:14:03,2023-01-31,1144157295,9284772656,2708.17,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:09:30,2023-04-29,386178625,9188382243,1294.11,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
21:47:45,2023-01-13,2247370907,2176034287,328.71,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
18:39:33,2023-07-15,6089664965,4077891876,5015.95,UK pounds,Moroccan dirham,UK,Morocco,Cross-border,0,Normal_Fan_In
15:23:54,2023-08-15,3837607024,1496694897,4051.36,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
19:36:33,2023-06-21,3219626897,4501535105,1357.37,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
09:55:30,2023-03-07,3784693346,9394647257,13862.99,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Fan_In
16:10:34,2023-04-28,6570150734,6766509105,9075.32,UK pounds,Dirham,UK,UK,Credit card,1,Fan_In
18:34:08,2022-10-29,6708292258,2458304145,35807.52,UK pounds,UK pounds,UK,UK,Debit card,1,Deposit-Send
11:45:53,2022-10-07,445154846,4497771501,3957.87,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
21:18:56,2023-08-01,2321611797,6942033270,14666.28,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
01:30:27,2023-06-08,8126974238,1960345643,17067.01,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
02:29:59,2023-02-01,720255241,6611717216,552.35,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
21:01:43,2023-03-28,2325999294,420844301,5304.56,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
16:39:27,2023-06-05,3005423770,5020415572,7077.33,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
17:43:28,2022-11-03,8197072010,2935036107,1423.33,UK pounds,Turkish lira,UK,Turkey,Cross-border,1,Behavioural_Change_2
18:15:10,2022-10-23,4708001806,9543913683,4679.41,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
17:16:18,2023-06-29,2756098239,4755204813,7836.733477913983,UK pounds,UK pounds,UK,UK,Cheque,1,Scatter-Gather
06:44:43,2023-07-07,7221308223,6844529387,3370.41,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
19:38:18,2023-07-08,6874790878,9304462035,148.05,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
12:42:55,2022-11-30,3936594061,4073728043,454.3,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
23:00:33,2023-03-01,2733277823,8193184390,9943.36,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Deposit-Send
12:28:26,2023-04-06,8603438385,6730092851,194.8,UK pounds,Mexican Peso,UK,Mexico,Cash Withdrawal,1,Cash_Withdrawal
11:19:00,2022-11-14,2091857015,2000454159,1323.68,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
13:37:08,2022-10-08,9902740361,3530086466,9494.56,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
09:22:48,2023-08-07,1139617690,6571049178,901.93,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
12:40:45,2022-12-09,9221637953,1500261924,6011.64,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Fan_Out
03:55:07,2023-03-10,7596828554,1925538445,2459.24,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:56:39,2023-03-23,6176090086,2183684435,5316.23,UK pounds,UK pounds,UK,UK,ACH,1,Fan_Out
20:48:24,2023-05-25,4117604438,7904351679,5799.38,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
08:04:12,2023-02-06,5797361704,2784565564,7236.22,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_In
01:11:30,2023-02-15,8639429967,7834243442,13658.77,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:57:22,2023-03-06,2366716701,7951108994,3287.1,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
19:45:30,2022-11-03,2843630248,2052901594,3815.749635314845,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_Out
22:01:18,2023-05-23,5626821295,6340676775,6840.09,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
11:03:07,2023-05-29,5259153470,653291553,12788.02,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
18:09:07,2023-05-09,1149627326,4424000019,5215.12,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
06:01:40,2022-11-16,6901503920,9257052636,67.5,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
